player1,player2,winner,win_method,player1_move_time,player2_move_time,player1_turns,player2_turns,total_turns,total_game_time
Group1,Group2,Group1,WIN,196.237,0.001,41,40,81,198.161
Group1,Group3,Group3,WIN,142.261,98.328,30,30,60,447.95
Group1,Group4,Group1,WIN,240.429,101.421,50,49,99,344.749
Group1,Group5,Group1,TIMEOUT,201.504,314.4,41,41,82,553.972
Group1,Group6,Group6,WIN,88.309,32.925,19,19,38,146.918
Group1,Group100,Group1,WIN,218.606,196.362,44,43,87,979.941
Group2,Group1,Group1,WIN,0.001,176.591,36,36,72,178.362
Group2,Group3,Group3,WIN,0.001,135.616,27,27,54,498.222
Group2,Group4,Group2,WIN,0.002,101.588,55,54,109,103.167
Group2,Group5,Group5,WIN,0.001,174.706,37,37,74,187.829
Group2,Group6,Group6,WIN,0.001,95.031,26,26,52,231.876
Group2,Group100,Group100,WIN,0.001,104.016,30,30,60,449.754
Group3,Group1,Group1,WIN,233.192,197.696,40,40,80,904.713
Group3,Group2,Group3,WIN,124.675,0.001,31,30,61,362.285
Group3,Group4,Group3,WIN,120.282,75.29,30,29,59,402.021
Group3,Group5,Group5,WIN,102.627,95.661,23,23,46,347.127
Group3,Group6,Group6,WIN,102.01,29.397,28,28,56,368.443
Group3,Group100,Group100,WIN,150.303,124.031,43,43,86,961.872
Group4,Group1,Group1,WIN,224.907,210.963,43,43,86,438.681
Group4,Group2,Group4,WIN,20.28,0.0,12,11,23,20.657
Group4,Group3,Group4,WIN,21.874,125.526,20,19,39,301.198
Group4,Group5,Group5,WIN,137.866,142.234,39,39,78,293.137
Group4,Group6,Group6,WIN,23.955,5.253,12,12,24,31.806
Group4,Group100,Group4,WIN,19.352,50.36,12,11,23,112.536
Group5,Group1,Group1,WIN,242.859,206.139,42,42,84,475.953
Group5,Group2,Group5,WIN,157.445,0.001,26,25,51,166.306
Group5,Group3,Group3,WIN,81.121,129.087,35,35,70,533.726
Group5,Group4,Group5,WIN,107.344,98.964,46,45,91,223.929
Group5,Group6,Group6,WIN,63.946,31.992,28,28,56,126.458
Group5,Group100,Group100,WIN,66.168,74.42,24,24,48,295.032
Group6,Group1,Group6,WIN,72.23,211.054,45,44,89,339.228
Group6,Group2,Group6,WIN,94.131,0.002,45,44,89,160.467
Group6,Group3,Group6,WIN,10.042,100.166,19,18,37,203.102
Group6,Group4,Group6,WIN,29.889,106.023,54,53,107,176.164
Group6,Group5,Group6,WIN,26.169,46.095,27,26,53,97.48
Group6,Group100,Group6,WIN,30.283,108.497,36,35,71,398.699
Group100,Group1,Group100,WIN,74.246,98.106,21,20,41,304.701
Group100,Group2,Group100,WIN,101.489,0.001,29,28,57,436.889
Group100,Group3,Group3,WIN,81.055,91.95,32,32,64,511.673
Group100,Group4,Group100,WIN,72.804,50.222,24,23,47,280.949
Group100,Group5,Group5,WIN,70.404,64.197,18,18,36,216.667
Group100,Group6,Group6,WIN,89.596,16.049,26,26,52,253.914
