player1,player2,winner,win_method,player1_move_time,player2_move_time,player1_turns,player2_turns,total_turns,total_game_time
Group1,Group2,Group1,WIN,220.755,0.001,46,45,91,223.203
Group1,Group4,Group1,WIN,255.12,110.551,53,52,105,369.677
Group1,Group5,Group1,WIN,191.354,206.299,39,38,77,415.839
Group1,Group6,Group6,WIN,161.898,63.43,34,34,68,262.356
Group1,Group100,Group100,WIN,142.575,96.333,30,30,60,441.128
Group2,Group1,Group1,WIN,0.001,171.757,35,35,70,173.717
Group2,Group3,Group3,WIN,0.001,175.295,33,33,66,622.371
Group2,Group4,Group2,WIN,0.002,107.123,56,55,111,108.818
Group2,Group5,Group5,WIN,0.001,133.597,36,36,72,145.013
Group2,Group6,Group6,WIN,0.0,26.085,17,17,34,40.99
Group2,Group100,Group100,WIN,0.001,76.137,20,20,40,211.199
Group3,Group1,Group3,WIN,115.818,107.981,24,23,47,386.818
Group3,Group2,Group3,WIN,175.812,0.002,39,38,77,725.175
Group3,Group4,Group3,WIN,93.898,69.97,27,26,53,350.632
Group3,Group5,Group3,WIN,162.652,81.958,39,38,77,597.444
Group3,Group6,Group3,WIN,129.422,21.948,29,28,57,357.948
Group3,Group100,Group3,WIN,107.849,111.621,27,26,53,627.128
Group4,Group1,Group1,WIN,199.898,230.629,47,47,94,433.621
Group4,Group2,Group2,WIN,215.612,0.002,59,59,118,217.527
Group4,Group3,Group3,WIN,56.849,122.623,28,28,56,415.477
Group4,Group5,Group5,WIN,137.275,135.182,37,37,74,284.967
Group4,Group6,Group6,WIN,25.571,5.594,12,12,24,34.003
Group4,Group100,Group4,WIN,23.335,51.967,13,12,25,137.642
Group5,Group1,Group5,WIN,143.766,142.258,30,29,59,296.943
Group5,Group2,Group5,WIN,111.616,0.002,53,52,105,126.799
Group5,Group3,Group3,WIN,69.863,95.076,26,26,52,328.25
Group5,Group4,Group5,WIN,107.804,104.539,58,57,115,235.043
Group5,Group6,Group6,WIN,80.35,39.059,32,32,64,152.976
Group5,Group100,Group100,WIN,93.403,107.537,37,37,74,394.4
Group6,Group1,Group6,WIN,31.125,103.034,23,22,45,155.658
Group6,Group2,Group6,WIN,54.01,0.001,23,22,45,147.553
Group6,Group3,Group6,WIN,30.409,141.51,44,43,87,548.473
Group6,Group4,Group6,WIN,15.121,65.31,25,24,49,93.376
Group6,Group5,Group6,WIN,54.85,73.346,47,46,93,186.449
Group6,Group100,Group6,WIN,29.158,109.982,38,37,75,388.034
Group100,Group1,Group1,WIN,85.513,162.405,34,34,68,474.356
Group100,Group2,Group100,WIN,89.388,0.001,36,35,71,366.575
Group100,Group3,Group100,WIN,58.645,95.714,22,21,43,347.477
Group100,Group4,Group100,WIN,76.304,50.062,27,26,53,297.79
Group100,Group5,Group5,WIN,60.104,79.132,25,25,50,266.856
Group100,Group6,Group6,WIN,78.443,15.766,25,25,50,199.59
