player1,player2,winner,win_method,player1_move_time,player2_move_time,player1_turns,player2_turns,total_turns,total_game_time
Group1,Group2,Group1,WIN,161.911,0.001,33,32,65,163.361
Group1,Group4,Group1,WIN,255.151,103.05,53,52,105,361.448
Group1,Group5,Group1,WIN,215.839,217.128,44,43,87,452.796
Group1,Group6,Group6,WIN,176.66,75.317,36,36,72,329.25
Group1,Group100,Group1,WIN,191.371,157.079,39,38,77,955.754
Group2,Group1,Group1,WIN,0.001,166.809,34,34,68,168.332
Group2,Group3,Group3,WIN,0.002,135.238,37,37,74,523.415
Group2,Group4,Group2,WIN,0.002,101.925,57,56,113,103.545
Group2,Group5,Group5,WIN,0.001,193.233,33,33,66,204.675
Group2,Group6,Group6,WIN,0.0,5.705,12,12,24,8.376
Group2,Group100,Group100,WIN,0.001,112.744,28,28,56,344.715
Group3,Group1,Group1,WIN,191.814,216.711,45,45,90,952.317
Group3,Group2,Group3,WIN,224.14,0.002,45,44,89,1049.174
Group3,Group4,Group3,WIN,126.297,84.256,35,34,69,530.277
Group3,Group5,Group3,WIN,121.287,125.059,31,30,61,475.742
Group3,Group6,Group3,WIN,101.385,18.933,26,25,51,283.616
Group3,Group100,Group100,WIN,162.371,101.481,34,34,68,838.341
Group4,Group1,Group1,WIN,269.049,176.67,36,36,72,448.071
Group4,Group2,Group4,WIN,21.79,0.0,19,18,37,22.338
Group4,Group3,Group4,WIN,19.498,72.575,12,11,23,134.31
Group4,Group5,Group5,WIN,182.171,121.477,37,37,74,315.324
Group4,Group6,Group6,WIN,24.247,6.482,12,12,24,33.53
Group4,Group100,Group4,WIN,19.532,62.955,12,11,23,123.802
Group5,Group1,Group1,WIN,234.173,215.868,44,44,88,481.044
Group5,Group2,Group5,WIN,154.057,0.001,36,35,71,165.561
Group5,Group3,Group3,WIN,74.041,118.459,31,31,62,424.111
Group5,Group4,Group5,WIN,113.975,103.613,56,55,111,238.802
Group5,Group6,Group6,WIN,68.238,32.17,27,27,54,121.481
Group5,Group100,Group100,WIN,86.005,107.412,35,35,70,468.114
Group6,Group1,Group6,WIN,45.651,122.645,27,26,53,190.958
Group6,Group2,Group6,WIN,81.278,0.002,43,42,85,145.427
Group6,Group3,Group6,WIN,30.785,130.781,40,39,79,493.565
Group6,Group4,Group6,WIN,23.654,100.239,45,44,89,142.099
Group6,Group5,Group6,WIN,26.722,61.71,29,28,57,113.813
Group6,Group100,Group6,WIN,19.671,106.935,29,28,57,351.692
Group100,Group1,Group100,WIN,54.669,73.74,17,16,33,211.999
Group100,Group2,Group100,WIN,99.509,0.001,28,27,55,312.888
Group100,Group3,Group100,WIN,84.124,184.121,40,39,79,930.554
Group100,Group4,Group100,WIN,89.904,60.127,30,29,59,394.224
Group100,Group5,Group5,WIN,86.907,100.834,34,34,68,429.772
Group100,Group6,Group6,WIN,87.539,16.778,22,22,44,269.138
