player1,player2,winner,win_method,player1_move_time,player2_move_time,player1_turns,player2_turns,total_turns,total_game_time
Group1,Group2,Group1,WIN,206.025,0.001,42,41,83,208.094
Group1,Group3,Group3,WIN,157.023,94.285,32,32,64,471.028
Group1,Group4,Group1,WIN,269.834,104.478,56,55,111,377.873
Group1,Group5,Group1,WIN,206.037,199.496,42,41,83,426.314
Group1,Group6,Group6,WIN,83.404,13.061,18,18,36,105.446
Group1,Group100,Group1,WIN,191.351,218.618,39,38,77,997.015
Group2,Group1,Group1,WIN,0.001,201.176,41,41,82,203.409
Group2,Group3,Group3,WIN,0.001,97.904,21,21,42,315.435
Group2,Group4,Group2,WIN,0.001,89.799,38,37,75,90.887
Group2,Group5,Group5,WIN,0.002,197.569,42,42,84,213.983
Group2,Group6,Group6,WIN,0.0,28.022,18,18,36,44.023
Group2,Group100,Group100,WIN,0.002,125.62,38,38,76,530.197
Group3,Group1,Group1,WIN,183.996,181.927,37,37,74,822.632
Group3,Group2,Group3,WIN,154.939,0.001,33,32,65,466.005
Group3,Group4,Group3,WIN,130.277,65.483,26,25,51,453.871
Group3,Group5,Group5,WIN,143.493,135.677,35,35,70,582.389
Group3,Group6,Group6,WIN,154.899,22.423,27,27,54,397.097
Group3,Group100,Group3,WIN,111.647,110.629,25,24,49,595.215
Group4,Group1,Group1,WIN,234.71,240.416,49,49,98,478.447
Group4,Group2,Group4,WIN,19.821,0.0,12,11,23,20.152
Group4,Group3,Group3,WIN,23.85,74.837,20,20,40,217.419
Group4,Group5,Group5,WIN,134.006,109.756,34,34,68,253.904
Group4,Group6,Group6,WIN,23.953,3.292,12,12,24,29.679
Group4,Group100,Group100,WIN,58.673,78.482,24,24,48,308.424
Group5,Group1,Group1,WIN,218.021,196.208,40,40,80,434.833
Group5,Group2,Group5,WIN,92.714,0.001,35,34,69,101.421
Group5,Group3,Group3,WIN,81.267,122.706,35,35,70,483.148
Group5,Group4,Group5,WIN,98.239,101.417,45,44,89,216.872
Group5,Group6,Group6,WIN,78.249,48.339,29,29,58,178.669
Group5,Group100,Group100,WIN,75.032,129.482,34,34,68,490.139
Group6,Group1,Group6,WIN,67.773,152.284,33,32,65,278.32
Group6,Group2,Group6,WIN,58.782,0.001,28,27,55,146.174
Group6,Group3,Group6,WIN,33.727,132.847,37,36,73,415.677
Group6,Group4,Group6,WIN,29.152,101.299,45,44,89,150.328
Group6,Group5,Group6,WIN,35.137,67.626,36,35,71,131.727
Group6,Group100,Group6,WIN,15.752,66.857,20,19,39,178.863
Group100,Group1,Group1,WIN,111.676,147.267,31,31,62,470.071
Group100,Group2,Group100,WIN,107.398,0.001,38,37,75,549.128
Group100,Group3,Group3,WIN,84.459,75.251,28,28,56,430.078
Group100,Group4,Group100,WIN,86.196,57.605,30,29,59,362.451
Group100,Group5,Group100,WIN,77.714,93.39,30,29,59,338.189
Group100,Group6,Group6,WIN,104.975,30.624,35,35,70,383.64
