player1,player2,winner,win_method,player1_move_time,player2_move_time,player1_turns,player2_turns,total_turns,total_game_time
Group1,Group2,Group1,WIN,220.768,0.002,45,44,89,223.024
Group1,Group3,Group3,WIN,122.667,99.866,25,25,50,449.49
Group1,Group4,Group1,WIN,260.01,105.296,54,53,107,369.005
Group1,Group5,Group1,WIN,196.207,207.188,40,39,79,420.968
Group1,Group6,Group6,WIN,122.684,41.141,25,25,50,187.464
Group1,Group100,Group1,WIN,201.406,203.297,41,40,81,984.054
Group2,Group1,Group1,WIN,0.002,245.252,50,50,100,247.88
Group2,Group3,Group3,WIN,0.001,164.578,36,36,72,662.589
Group2,Group4,Group2,WIN,0.001,102.531,46,45,91,103.931
Group2,Group5,Group5,WIN,0.001,154.344,27,27,54,163.192
Group2,Group6,Group6,WIN,0.001,20.185,17,17,34,32.308
Group2,Group100,Group100,WIN,0.002,168.072,42,42,84,841.683
Group3,Group1,Group1,WIN,153.311,181.568,37,37,74,784.44
Group3,Group2,Group3,WIN,209.068,0.002,44,43,87,934.804
Group3,Group4,Group3,WIN,134.783,83.636,34,33,67,557.559
Group3,Group5,Group3,WIN,101.088,106.353,28,27,55,397.199
Group3,Group6,Group6,WIN,118.221,19.162,26,26,52,298.669
Group3,Group100,Group3,WIN,98.215,97.085,24,23,47,509.633
Group4,Group1,Group1,WIN,208.567,230.564,47,47,94,442.131
Group4,Group2,Group4,WIN,22.389,0.0,12,11,23,22.85
Group4,Group3,Group3,WIN,31.929,75.092,22,22,44,235.298
Group4,Group5,Group5,WIN,238.768,112.875,41,41,82,364.281
Group4,Group6,Group6,WIN,23.245,5.258,12,12,24,31.22
Group4,Group100,Group4,WIN,48.069,91.458,36,35,71,385.479
Group5,Group1,Group1,TIMEOUT,303.403,221.206,46,45,91,572.588
Group5,Group2,Group2,WIN,107.399,0.002,53,53,106,123.075
Group5,Group3,Group3,WIN,89.54,125.374,37,37,74,503.766
Group5,Group4,Group5,WIN,111.553,104.778,52,51,103,235.562
Group5,Group6,Group6,WIN,75.689,26.345,26,26,52,124.614
Group5,Group100,Group100,WIN,91.988,145.822,43,43,86,628.774
Group6,Group1,Group6,WIN,57.951,206.136,44,43,87,309.213
Group6,Group2,Group6,WIN,52.58,0.001,24,23,47,125.946
Group6,Group3,Group6,WIN,23.259,106.907,27,26,53,333.475
Group6,Group4,Group6,WIN,16.716,82.446,33,32,65,113.045
Group6,Group5,Group6,WIN,50.524,79.054,49,48,97,175.333
Group6,Group100,Group6,WIN,25.99,119.981,39,38,77,467.549
Group100,Group1,Group100,WIN,84.699,137.81,30,29,59,407.526
Group100,Group2,Group100,WIN,123.683,0.001,37,36,73,520.663
Group100,Group3,Group100,WIN,83.916,148.698,31,30,61,664.623
Group100,Group4,Group100,WIN,76.908,48.216,22,21,43,269.111
Group100,Group5,Group100,WIN,80.928,32.571,23,22,45,262.853
Group100,Group6,Group6,WIN,70.025,14.343,20,20,40,212.017
