player,matches,wins,win_rate,total_move_time,total_moves,average_move_time,illegal_moves_loss,time_out_loss,regular_loss
Group1,12,8,0.6666666666666666,2179.7799999999997,447,4.876465324384787,0,0,4
Group2,12,1,0.08333333333333333,0.012,409,2.9339853300733496e-05,0,0,11
Group3,12,5,0.4166666666666667,1481.874,346,4.282872832369942,0,0,7
Group4,12,3,0.25,1009.1889999999999,376,2.68401329787234,0,0,9
Group5,12,7,0.5833333333333334,1400.194,395,3.5447949367088607,0,0,5
Group6,12,11,0.9166666666666666,394.44100000000003,329,1.1989088145896658,0,0,1
Group100,12,7,0.5833333333333334,1239.528,381,3.2533543307086616,0,0,5
