player,matches,wins,win_rate,total_move_time,total_moves,average_move_time,illegal_moves_loss,time_out_loss,regular_loss
Group1,11,6,0.5454545454545454,1757.0859999999998,362,4.8538287292817675,1,0,4
Group2,12,1,0.08333333333333333,0.021000000000000005,463,4.535637149028079e-05,0,0,11
Group4,12,4,0.3333333333333333,1004.856,398,2.5247638190954773,0,0,8
Group5,12,4,0.3333333333333333,1430.746,464,3.0835043103448276,0,0,8
Group6,12,12,1.0,417.48299999999995,335,1.246217910447761,0,0,0
Group100,12,7,0.5833333333333334,1162.2530000000002,342,3.398400584795322,0,0,5
Group3,11,7,0.6363636363636364,1446.158,358,4.039547486033519,0,0,4
