player1,player2,winner,win_method,player1_move_time,player2_move_time,player1_turns,player2_turns,total_turns,total_game_time
Group1,Group2,Group1,WIN,191.366,0.002,40,39,79,193.641
Group1,Group4,Group1,WIN,220.792,103.906,46,45,91,327.753
Group1,Group5,Group1,WIN,220.831,194.217,45,44,89,435.139
Group1,Group6,Group6,WIN,108.004,57.814,22,22,44,242.728
Group1,Group100,Group100,BAD_MOVE,4.909,0.002,2,1,3,5.128
Group2,Group1,Group1,WIN,0.001,186.444,38,38,76,188.663
Group2,Group3,Group3,WIN,0.001,138.128,31,31,62,484.927
Group2,Group4,Group4,WIN,0.002,108.572,59,59,118,110.513
Group2,Group5,Group5,WIN,0.003,227.117,43,43,86,246.337
Group2,Group6,Group6,WIN,0.001,52.915,29,29,58,75.506
Group2,Group100,Group100,WIN,0.002,144.935,38,38,76,610.961
Group3,Group1,Group3,WIN,136.278,152.282,32,31,63,512.65
Group3,Group2,Group3,WIN,141.707,0.002,36,35,71,511.682
Group3,Group4,Group3,WIN,177.622,90.169,35,34,69,755.131
Group3,Group5,Group3,WIN,158.929,78.504,36,35,71,537.385
Group3,Group6,Group6,WIN,155.247,32.506,34,34,68,480.619
Group3,Group100,Group100,WIN,144.669,127.139,41,41,82,955.176
Group4,Group1,Group1,WIN,211.322,230.618,47,47,94,445.156
Group4,Group2,Group4,WIN,37.448,0.001,28,27,55,38.585
Group4,Group3,Group4,WIN,20.707,75.574,12,11,23,140.776
Group4,Group5,Group5,WIN,152.74,173.958,49,49,98,346.813
Group4,Group6,Group6,WIN,24.755,6.242,12,12,24,34.011
Group4,Group100,Group4,WIN,20.375,59.187,12,11,23,125.689
Group5,Group1,Group1,WIN,189.337,201.234,41,41,82,409.823
Group5,Group2,Group5,WIN,118.061,0.002,48,47,95,132.441
Group5,Group3,Group3,WIN,64.907,85.484,24,24,48,296.414
Group5,Group4,Group5,WIN,106.222,108.731,50,49,99,235.936
Group5,Group6,Group6,WIN,60.866,17.031,18,18,36,96.006
Group5,Group100,Group100,WIN,85.151,138.442,45,45,90,546.993
Group6,Group1,Group6,WIN,34.675,108.018,24,23,47,171.458
Group6,Group2,Group6,WIN,67.243,0.002,26,25,51,217.074
Group6,Group3,Group6,WIN,36.225,154.731,50,49,99,667.054
Group6,Group4,Group6,WIN,20.794,77.002,28,27,55,111.104
Group6,Group5,Group6,WIN,52.191,90.088,44,43,87,187.335
Group6,Group100,Group6,WIN,17.858,84.596,21,20,41,214.968
Group100,Group1,Group100,WIN,78.655,132.588,28,27,55,378.675
Group100,Group2,Group2,WIN,204.191,0.002,52,52,104,900.147
Group100,Group3,Group3,WIN,110.607,77.789,29,29,58,469.078
Group100,Group4,Group100,WIN,73.558,49.129,25,24,49,298.729
Group100,Group5,Group100,WIN,60.799,42.318,25,24,49,248.665
Group100,Group6,Group6,WIN,80.142,21.989,27,27,54,263.848
