player1,player2,winner,win_method,player1_move_time,player2_move_time,player1_turns,player2_turns,total_turns,total_game_time
Group1,Group2,Group1,WIN,206.086,0.001,42,41,83,208.009
Group1,Group3,Group1,WIN,177.207,150.058,36,35,71,776.689
Group1,Group4,Group1,WIN,259.998,104.676,54,53,107,368.033
Group1,Group5,Group5,WIN,176.599,141.662,36,36,72,331.684
Group1,Group6,Group6,WIN,98.143,72.787,20,20,40,276.33
Group1,Group100,Group1,WIN,161.954,111.937,33,32,65,545.04
Group2,Group1,Group1,WIN,0.001,191.357,39,39,78,193.199
Group2,Group3,Group3,WIN,0.0,85.519,19,19,38,207.646
Group2,Group4,Group2,WIN,0.001,93.921,40,39,79,95.087
Group2,Group5,Group5,WIN,0.001,159.708,35,35,70,171.201
Group2,Group6,Group6,WIN,0.0,32.394,20,20,40,58.556
Group2,Group100,Group100,WIN,0.002,197.281,48,48,96,923.277
Group3,Group1,Group1,WIN,151.053,167.306,35,35,70,654.957
Group3,Group2,Group3,WIN,174.027,0.001,37,36,73,705.721
Group3,Group4,Group3,WIN,167.1,97.411,42,41,83,707.433
Group3,Group5,Group5,WIN,127.416,113.102,28,28,56,470.215
Group3,Group6,Group6,WIN,120.613,21.716,26,26,52,345.9
Group3,Group100,Group3,WIN,115.491,138.56,30,29,59,754.252
Group4,Group1,Group1,WIN,231.176,230.564,47,47,94,464.977
Group4,Group2,Group4,WIN,22.348,0.0,16,15,31,22.8
Group4,Group3,Group4,WIN,22.12,97.952,22,21,43,278.336
Group4,Group5,Group5,WIN,159.727,109.65,32,32,64,279.842
Group4,Group6,Group6,WIN,24.095,4.607,12,12,24,31.241
Group4,Group100,Group4,WIN,19.983,55.716,12,11,23,114.6
Group5,Group1,Group5,WIN,212.436,127.605,27,26,53,352.458
Group5,Group2,Group5,WIN,206.725,0.002,45,44,89,224.533
Group5,Group3,Group3,WIN,69.7,103.124,26,26,52,361.704
Group5,Group4,Group5,WIN,94.214,94.155,40,39,79,202.599
Group5,Group6,Group6,WIN,64.937,31.292,26,26,52,122.604
Group5,Group100,Group100,WIN,71.454,109.509,32,32,64,397.386
Group6,Group1,Group6,WIN,68.504,215.981,46,45,91,327.215
Group6,Group2,Group6,WIN,69.391,0.002,40,39,79,110.275
Group6,Group3,Group6,WIN,13.339,105.654,22,21,43,260.523
Group6,Group4,Group6,WIN,15.819,80.439,32,31,63,108.247
Group6,Group5,Group6,WIN,20.189,44.561,27,26,53,85.027
Group6,Group100,Group100,WIN,21.296,88.337,29,29,58,312.229
Group100,Group1,Group1,WIN,102.949,166.98,34,34,68,523.439
Group100,Group2,Group100,WIN,100.213,0.001,34,33,67,379.084
Group100,Group3,Group100,WIN,67.541,83.867,27,26,53,415.455
Group100,Group4,Group100,WIN,76.717,59.138,33,32,65,342.419
Group100,Group5,Group100,WIN,96.135,112.045,43,42,85,509.225
Group100,Group6,Group6,WIN,94.633,23.107,29,29,58,345.167
