player1,player2,winner,win_method,player1_move_time,player2_move_time,player1_turns,player2_turns,total_turns,total_game_time
Group1,Group2,Group1,WIN,245.288,0.002,51,50,101,247.707
Group1,Group4,Group1,WIN,196.218,94.448,41,40,81,293.35
Group1,Group5,Group1,WIN,196.21,212.722,40,39,79,431.701
Group1,Group6,Group6,WIN,83.418,29.222,17,17,34,137.774
Group1,Group100,Group1,WIN,202.186,212.247,41,40,81,1045.451
Group2,Group1,Group1,WIN,0.002,201.161,41,41,82,203.126
Group2,Group3,Group3,WIN,0.001,120.017,28,28,56,347.936
Group2,Group4,Group2,WIN,0.001,94.786,42,41,83,96.001
Group2,Group5,Group5,WIN,0.001,181.736,28,28,56,190.942
Group2,Group6,Group6,WIN,0.0,37.546,17,17,34,82.476
Group2,Group100,Group100,WIN,0.002,119.582,29,29,58,332.279
Group3,Group1,Group1,WIN,191.695,191.335,39,39,78,874.12
Group3,Group2,Group3,WIN,119.546,0.001,25,24,49,375.841
Group3,Group4,Group3,WIN,175.223,94.391,46,45,91,938.069
Group3,Group5,Group5,WIN,104.496,118.674,28,28,56,441.66
Group3,Group6,Group6,WIN,106.023,21.032,21,21,42,267.792
Group3,Group100,Group100,WIN,116.016,67.185,24,24,48,473.824
Group4,Group1,Group1,WIN,188.773,147.247,30,30,60,337.962
Group4,Group2,Group4,WIN,19.557,0.0,12,11,23,19.906
Group4,Group3,Group4,WIN,19.251,57.734,12,11,23,123.194
Group4,Group5,Group5,WIN,174.698,131.194,38,38,76,317.985
Group4,Group6,Group6,WIN,23.863,6.385,12,12,24,33.147
Group4,Group100,Group100,WIN,24.316,59.557,18,18,36,175.939
Group5,Group1,Group1,WIN,184.146,186.458,38,38,76,387.505
Group5,Group2,Group5,WIN,176.695,0.001,32,31,63,187.492
Group5,Group3,Group3,WIN,92.301,138.314,39,39,78,561.325
Group5,Group4,Group5,WIN,103.256,98.173,46,45,91,218.662
Group5,Group6,Group6,WIN,60.977,14.899,25,25,50,91.715
Group5,Group100,Group100,WIN,77.237,57.881,25,25,50,264.224
Group6,Group1,Group6,WIN,67.475,176.637,38,37,75,293.651
Group6,Group2,Group6,WIN,44.104,0.001,28,27,55,65.181
Group6,Group3,Group3,WIN,28.403,122.8,33,33,66,431.865
Group6,Group4,Group6,WIN,27.551,99.481,45,44,89,147.141
Group6,Group5,Group6,WIN,32.923,62.285,35,34,69,125.581
Group6,Group100,Group6,WIN,46.011,119.517,43,42,85,462.753
Group100,Group1,Group1,WIN,114.528,162.175,33,33,66,543.823
Group100,Group2,Group100,WIN,119.854,0.002,35,34,69,399.221
Group100,Group3,Group3,WIN,69.268,105.872,26,26,52,515.089
Group100,Group4,Group100,WIN,89.269,65.416,33,32,65,425.111
Group100,Group5,Group100,WIN,67.867,95.998,26,25,51,314.57
Group100,Group6,Group6,WIN,123.921,25.212,28,28,56,341.656
