player,matches,wins,win_rate,total_move_time,total_moves,average_move_time,illegal_moves_loss,time_out_loss,regular_loss
Group1,11,9,0.8181818181818182,1988.333,408,4.873365196078431,0,0,2
Group2,12,1,0.08333333333333333,0.014000000000000004,362,3.8674033149171284e-05,0,0,11
Group4,12,2,0.16666666666666666,997.153,369,2.7023116531165314,0,0,10
Group5,12,5,0.4166666666666667,1497.2210000000002,397,3.7713375314861466,0,0,7
Group6,12,11,0.9166666666666666,380.76300000000003,342,1.113342105263158,0,0,1
Group100,12,7,0.5833333333333334,1220.6760000000002,359,3.4002116991643456,0,0,5
Group3,11,6,0.5454545454545454,1357.736,320,4.2429250000000005,0,0,5
