player,matches,wins,win_rate,total_move_time,total_moves,average_move_time,illegal_moves_loss,time_out_loss,regular_loss
Group1,12,8,0.6666666666666666,2346.278,481,4.877916839916839,0,0,4
Group2,12,2,0.16666666666666666,0.016,428,3.738317757009346e-05,0,0,10
Group3,12,8,0.6666666666666666,1535.201,369,4.160436314363143,0,0,4
Group4,12,2,0.16666666666666666,1099.87,405,2.715728395061728,0,0,10
Group5,12,3,0.25,1471.9570000000003,461,3.192965292841649,0,1,8
Group6,12,12,1.0,353.45400000000006,342,1.0334912280701756,0,0,0
Group100,12,7,0.5833333333333334,1345.8739999999998,384,3.504880208333333,0,0,5
