player1,player2,winner,win_method,player1_move_time,player2_move_time,player1_turns,player2_turns,total_turns,total_game_time
Group1,Group2,Group1,WIN,269.833,0.002,56,55,111,272.648
Group1,Group4,Group1,WIN,255.121,104.615,53,52,105,363.067
Group1,Group5,Group5,WIN,196.313,191.231,40,40,80,405.118
Group1,Group6,Group1,WIN,162.435,97.759,33,32,65,524.803
Group1,Group100,Group1,WIN,166.919,132.117,34,33,67,645.798
Group2,Group1,Group1,WIN,0.001,196.257,40,40,80,198.343
Group2,Group3,Group3,WIN,0.001,150.489,26,26,52,503.955
Group2,Group4,Group2,WIN,0.002,105.34,57,56,113,107.012
Group2,Group5,Group5,WIN,0.001,171.48,30,30,60,181.721
Group2,Group6,Group6,WIN,0.001,45.878,27,27,54,76.602
Group2,Group100,Group100,WIN,0.001,111.834,30,30,60,346.545
Group3,Group1,Group1,WIN,155.7,207.081,42,42,84,767.246
Group3,Group2,Group3,WIN,127.325,0.001,30,29,59,342.2
Group3,Group4,Group3,WIN,109.278,61.505,24,23,47,339.78
Group3,Group5,Group3,WIN,100.399,37.506,23,22,45,300.119
Group3,Group6,Group6,TIMEOUT,301.521,19.74,25,24,49,646.72
Group3,Group100,Group100,WIN,151.522,89.744,32,32,64,680.618
Group4,Group1,Group1,TIMEOUT,302.195,191.402,40,39,79,496.13
Group4,Group2,Group2,WIN,236.872,0.002,59,59,118,238.709
Group4,Group3,Group4,WIN,20.669,75.144,12,11,23,145.794
Group4,Group5,Group5,WIN,161.537,104.897,27,27,54,275.631
Group4,Group6,Group6,WIN,25.064,6.528,12,12,24,34.487
Group4,Group100,Group4,WIN,20.292,44.464,12,11,23,108.034
Group5,Group1,Group1,WIN,185.502,161.948,33,33,66,362.459
Group5,Group2,Group5,WIN,196.968,0.001,36,35,71,210.748
Group5,Group3,Group3,WIN,74.246,93.328,27,27,54,336.785
Group5,Group4,Group5,WIN,97.076,101.701,42,41,83,215.387
Group5,Group6,Group6,WIN,70.808,23.424,30,30,60,116.035
Group5,Group100,Group100,WIN,91.097,142.404,42,42,84,624.04
Group6,Group1,Group1,WIN,73.204,181.519,38,38,76,296.41
Group6,Group2,Group6,WIN,56.673,0.001,30,29,59,117.793
Group6,Group3,Group3,WIN,42.085,144.924,42,42,84,542.443
Group6,Group4,Group6,WIN,24.521,104.831,43,42,85,146.294
Group6,Group5,Group6,WIN,35.179,74.886,36,35,71,139.539
Group6,Group100,Group6,WIN,17.579,95.513,30,29,59,298.305
Group100,Group1,Group1,WIN,128.041,186.616,38,38,76,752.761
Group100,Group2,Group100,WIN,96.294,0.001,30,29,59,321.519
Group100,Group3,Group100,WIN,75.277,66.465,25,24,49,339.163
Group100,Group4,Group100,WIN,73.427,53.146,29,28,57,302.034
Group100,Group5,Group100,WIN,84.146,94.047,35,34,69,411.313
Group100,Group6,Group6,WIN,66.007,16.653,21,21,42,211.482
