player,matches,wins,win_rate,total_move_time,total_moves,average_move_time,illegal_moves_loss,time_out_loss,regular_loss
Group1,11,6,0.5454545454545454,1889.766,392,4.820831632653062,0,0,5
Group2,12,2,0.16666666666666666,0.015000000000000003,448,3.3482142857142866e-05,0,0,10
Group4,12,1,0.08333333333333333,1166.095,436,2.6745298165137616,0,0,11
Group5,12,6,0.5,1316.316,456,2.886657894736842,0,0,6
Group6,12,11,0.9166666666666666,386.555,348,1.1107902298850576,0,0,1
Group100,12,6,0.5,1001.974,331,3.0271117824773417,0,0,6
Group3,11,9,0.8181818181818182,1415.6689999999999,336,4.213300595238095,0,0,2
