player,matches,wins,win_rate,total_move_time,total_moves,average_move_time,illegal_moves_loss,time_out_loss,regular_loss
Group1,12,9,0.75,2232.9519999999998,459,4.86481917211329,0,0,3
Group2,12,1,0.08333333333333333,0.012000000000000004,380,3.1578947368421065e-05,0,0,11
Group3,12,8,0.6666666666666666,1477.081,355,4.160791549295775,0,0,4
Group4,12,1,0.08333333333333333,1015.094,385,2.6366077922077924,0,0,11
Group5,12,5,0.4166666666666667,1447.036,434,3.334184331797235,0,0,7
Group6,12,12,1.0,386.084,338,1.1422603550295858,0,0,0
Group100,12,6,0.5,1302.1059999999998,369,3.5287425474254737,0,0,6
