player,matches,wins,win_rate,total_move_time,total_moves,average_move_time,illegal_moves_loss,time_out_loss,regular_loss
Group1,12,8,0.6666666666666666,2187.8949999999995,450,4.861988888888888,0,0,4
Group2,12,1,0.08333333333333333,0.013000000000000001,389,3.341902313624679e-05,0,0,11
Group3,12,6,0.5,1513.762,356,4.252140449438202,0,0,6
Group4,12,3,0.25,981.7420000000001,391,2.5108491048593353,0,0,9
Group5,12,6,0.5,1556.176,385,4.0420155844155845,0,1,5
Group6,12,12,1.0,473.3909999999999,365,1.2969616438356162,0,0,0
Group100,12,6,0.5,1147.2799999999997,336,3.414523809523809,0,0,6
